iter	Passed	Remaining
0	18	18921
1	21	10621
2	23	7923
3	25	6472
4	28	5656
5	31	5160
6	33	4752
7	35	4460
8	39	4298
9	41	4125
10	43	3946
11	46	3845
12	50	3833
13	53	3734
14	55	3631
15	58	3582
16	60	3506
17	62	3426
18	64	3349
19	67	3299
20	69	3249
21	72	3205
22	74	3169
23	77	3158
24	80	3141
25	82	3105
26	85	3070
27	87	3053
28	90	3020
29	94	3045
30	96	3027
31	99	3020
32	102	3001
33	105	2989
34	107	2970
35	110	2949
36	112	2929
37	114	2908
38	117	2886
39	119	2868
40	122	2854
41	124	2829
42	126	2815
43	128	2802
44	131	2794
45	134	2783
46	137	2782
47	140	2792
48	143	2784
49	146	2776
50	148	2769
51	151	2761
52	153	2750
53	156	2745
54	159	2740
55	161	2730
56	164	2723
57	167	2717
58	169	2711
59	172	2694
60	174	2686
61	177	2687
62	180	2686
63	183	2679
64	185	2674
65	188	2666
66	190	2655
67	192	2644
68	195	2636
69	198	2634
70	200	2626
71	203	2619
72	206	2616
73	208	2608
74	210	2602
75	213	2598
76	217	2603
77	219	2596
78	222	2588
79	225	2588
80	227	2585
81	230	2577
82	232	2570
83	235	2562
84	237	2553
85	239	2545
86	241	2538
87	244	2538
88	247	2536
89	250	2530
90	252	2524
91	254	2516
92	257	2515
93	260	2511
94	262	2505
95	265	2498
96	267	2491
97	269	2483
98	272	2477
99	274	2474
100	277	2468
101	279	2460
102	281	2454
103	284	2447
104	286	2440
105	289	2440
106	293	2450
107	295	2444
108	298	2441
109	301	2439
110	303	2433
111	306	2428
112	308	2424
113	311	2418
114	313	2413
115	316	2408
116	318	2403
117	321	2405
118	324	2400
119	326	2395
120	329	2390
121	331	2385
122	334	2382
123	336	2378
124	339	2373
125	341	2368
126	343	2364
127	346	2359
128	348	2356
129	351	2351
130	353	2346
131	356	2341
132	359	2340
133	361	2337
134	364	2337
135	368	2340
136	370	2334
137	372	2328
138	375	2322
139	377	2317
140	379	2311
141	381	2306
142	384	2301
143	386	2299
144	389	2298
145	392	2294
146	395	2295
147	397	2290
148	400	2286
149	403	2286
150	405	2282
151	408	2278
152	411	2275
153	413	2273
154	416	2271
155	419	2268
156	421	2264
157	423	2259
158	426	2256
159	429	2253
160	431	2249
161	434	2246
162	437	2244
163	439	2241
164	442	2239
165	445	2238
166	448	2239
167	451	2236
168	453	2232
169	456	2229
170	459	2228
171	462	2225
172	465	2222
173	467	2219
174	469	2215
175	473	2214
176	475	2212
177	478	2208
178	480	2202
179	483	2200
180	485	2198
181	488	2197
182	491	2194
183	494	2192
184	496	2188
185	498	2182
186	500	2177
187	503	2173
188	505	2169
189	508	2166
190	510	2162
191	513	2161
192	516	2160
193	519	2159
194	522	2156
195	524	2151
196	526	2147
197	529	2143
198	531	2140
199	534	2137
200	536	2134
201	539	2132
202	542	2129
203	544	2126
204	548	2126
205	551	2124
206	553	2121
207	556	2117
208	558	2112
209	560	2109
210	563	2107
211	566	2105
212	569	2103
213	572	2101
214	574	2098
215	577	2095
216	579	2091
217	582	2087
218	584	2084
219	587	2083
220	589	2079
221	593	2080
222	597	2081
223	599	2077
224	601	2072
225	604	2069
226	606	2065
227	609	2062
228	611	2058
229	614	2056
230	616	2053
231	619	2050
232	622	2048
233	624	2044
234	627	2041
235	629	2038
236	632	2034
237	634	2030
238	636	2027
239	641	2030
240	644	2028
241	646	2026
242	649	2023
243	652	2020
244	654	2017
245	656	2013
246	659	2010
247	661	2006
248	663	2002
249	666	1998
250	669	1997
251	673	1998
252	675	1994
253	678	1991
254	680	1987
255	682	1983
256	685	1981
257	688	1979
258	691	1977
259	693	1973
260	695	1970
261	698	1966
262	700	1961
263	702	1958
264	704	1954
265	707	1951
266	709	1946
267	711	1943
268	714	1940
269	717	1940
270	720	1938
271	723	1937
272	726	1934
273	729	1932
274	731	1928
275	733	1924
276	735	1920
277	737	1916
278	740	1913
279	742	1908
280	745	1908
281	747	1904
282	750	1901
283	753	1898
284	755	1895
285	757	1891
286	760	1888
287	762	1885
288	765	1882
289	767	1878
290	769	1875
291	772	1872
292	774	1868
293	776	1864
294	778	1861
295	781	1858
296	784	1857
297	786	1853
298	788	1849
299	791	1847
300	793	1842
301	795	1839
302	798	1837
303	800	1833
304	802	1829
305	804	1825
306	808	1824
307	810	1822
308	813	1818
309	815	1814
310	817	1810
311	819	1806
312	822	1806
313	825	1803
314	827	1798
315	829	1795
316	831	1792
317	834	1789
318	836	1785
319	839	1783
320	841	1780
321	843	1776
322	846	1773
323	847	1769
324	850	1765
325	852	1762
326	854	1759
327	856	1755
328	859	1752
329	861	1748
330	863	1745
331	866	1743
332	869	1741
333	871	1737
334	874	1734
335	876	1731
336	878	1728
337	880	1725
338	883	1721
339	885	1718
340	887	1714
341	889	1711
342	891	1707
343	893	1704
344	896	1701
345	899	1699
346	902	1698
347	905	1696
348	907	1693
349	911	1691
350	914	1690
351	916	1687
352	918	1684
353	921	1680
354	923	1677
355	926	1675
356	928	1672
357	931	1670
358	933	1667
359	936	1664
360	938	1661
361	941	1659
362	943	1656
363	946	1652
364	948	1649
365	950	1646
366	954	1646
367	956	1643
368	959	1639
369	961	1636
370	965	1636
371	967	1633
372	969	1629
373	971	1626
374	974	1624
375	977	1621
376	980	1620
377	985	1621
378	989	1621
379	991	1618
380	993	1614
381	995	1611
382	998	1608
383	1000	1604
384	1003	1602
385	1005	1599
386	1008	1598
387	1012	1597
388	1016	1597
389	1020	1595
390	1023	1593
391	1025	1590
392	1027	1587
393	1030	1585
394	1033	1582
395	1035	1579
396	1038	1576
397	1041	1575
398	1044	1573
399	1046	1570
400	1049	1567
401	1051	1564
402	1053	1561
403	1056	1558
404	1059	1556
405	1061	1552
406	1063	1549
407	1066	1547
408	1068	1544
409	1071	1542
410	1074	1539
411	1076	1536
412	1079	1534
413	1081	1531
414	1084	1528
415	1086	1525
416	1090	1525
417	1093	1522
418	1095	1519
419	1098	1516
420	1100	1513
421	1103	1511
422	1106	1508
423	1108	1505
424	1110	1502
425	1112	1498
426	1113	1494
427	1116	1491
428	1118	1488
429	1120	1485
430	1122	1482
431	1125	1479
432	1128	1477
433	1130	1474
434	1134	1473
435	1136	1470
436	1139	1468
437	1142	1466
438	1144	1463
439	1147	1460
440	1149	1457
441	1151	1454
442	1153	1450
443	1156	1447
444	1158	1445
445	1163	1444
446	1166	1442
447	1168	1439
448	1171	1437
449	1173	1434
450	1175	1431
451	1178	1428
452	1180	1425
453	1183	1422
454	1185	1420
455	1187	1417
456	1190	1414
457	1193	1412
458	1196	1410
459	1199	1407
460	1201	1404
461	1203	1402
462	1206	1399
463	1209	1396
464	1211	1393
465	1213	1390
466	1215	1387
467	1218	1385
468	1221	1382
469	1224	1380
470	1227	1378
471	1230	1376
472	1232	1373
473	1235	1370
474	1238	1369
475	1241	1366
476	1244	1364
477	1246	1361
478	1249	1359
479	1252	1357
480	1255	1354
481	1257	1351
482	1260	1349
483	1262	1346
484	1264	1342
485	1266	1339
486	1268	1336
487	1271	1333
488	1273	1331
489	1276	1328
490	1279	1326
491	1283	1325
492	1286	1322
493	1288	1319
494	1291	1317
495	1293	1314
496	1295	1311
497	1299	1310
498	1302	1307
499	1304	1304
500	1307	1302
501	1309	1299
502	1311	1296
503	1313	1293
504	1316	1290
505	1318	1287
506	1320	1284
507	1323	1281
508	1327	1280
509	1329	1277
510	1331	1274
511	1334	1271
512	1336	1268
513	1338	1265
514	1340	1262
515	1343	1259
516	1345	1256
517	1346	1253
518	1348	1249
519	1350	1246
520	1352	1243
521	1354	1240
522	1358	1239
523	1361	1236
524	1363	1233
525	1365	1230
526	1367	1227
527	1369	1224
528	1371	1221
529	1374	1218
530	1376	1216
531	1379	1213
532	1381	1210
533	1383	1207
534	1386	1204
535	1388	1201
536	1390	1198
537	1392	1195
538	1394	1192
539	1396	1189
540	1398	1186
541	1400	1183
542	1404	1181
543	1406	1179
544	1408	1176
545	1410	1173
546	1412	1170
547	1414	1166
548	1416	1163
549	1419	1161
550	1421	1158
551	1423	1155
552	1425	1151
553	1427	1148
554	1429	1146
555	1432	1144
556	1435	1141
557	1437	1138
558	1439	1135
559	1441	1132
560	1443	1129
561	1445	1126
562	1446	1122
563	1448	1119
564	1450	1116
565	1452	1113
566	1454	1110
567	1456	1107
568	1457	1104
569	1459	1101
570	1461	1098
571	1463	1095
572	1465	1092
573	1467	1089
574	1469	1086
575	1471	1083
576	1473	1080
577	1475	1077
578	1477	1074
579	1480	1072
580	1482	1069
581	1484	1066
582	1486	1063
583	1488	1060
584	1490	1057
585	1492	1054
586	1495	1051
587	1497	1049
588	1499	1046
589	1501	1043
590	1502	1040
591	1504	1036
592	1506	1033
593	1509	1031
594	1511	1029
595	1513	1026
596	1516	1023
