,Index,Bond length 1,Bond length 2,Length 3,Bond name,Bond Angle
0,0 3 16,1.619761942546702,1.6303846897690504,3.097164815776668,Si O Si,144.7014524013468
1,0 7 127,1.6301185938865639,1.6385892430974696,2.935773475774809,Si O Si,127.83039569368279
2,0 11 10,1.6045247361191397,1.607525740317708,3.190139701167338,Si O Si,166.6077763657695
3,0 21 53,1.6192453809412082,1.6175447983479396,2.942951827074104,Si O Si,130.79534255806746
4,1 2 9,1.6185801498762606,1.614900456304629,3.0300136204383517,Si O Si,139.13195749777532
5,1 5 18,1.6182631397549736,1.61146045834392,3.1021140378598737,Si O Si,147.68025199838755
6,1 8 20,1.610730570644173,1.6215054064141194,3.2117639257080803,Si O Si,167.09587112698995
7,1 12 13,1.6238222820274901,1.6226335418633921,3.1707911156783446,Si O Si,155.21113064363462
9,9 14 28,1.5990301853566025,1.6006945178804421,3.174887782305711,Si O Si,165.7129824102993
10,9 23 163,1.6028584408454287,1.626178660091305,2.985612502903455,Si O Si,135.21917347722723
11,9 26 77,1.6093133453545276,1.5884342784084373,3.134660248211111,Si O Si,157.19958522970475
12,10 4 28,1.6301102416524935,1.6362821730183703,3.0173846446512465,Si O Si,134.96614982123205
13,10 6 13,1.6129678329727293,1.6107598161333747,2.9846300387299647,Si O Si,135.5882717390326
15,10 55 70,1.6217826344602406,1.6225675641574226,3.135288770617619,Si O Si,150.20361823190328
18,13 17 27,1.592771817559818,1.610149291118983,2.9793806632152213,Si O Si,136.93364568140433
19,13 19 29,1.603655361018171,1.6104706883079898,3.02300198570982,Si O Si,140.283515923399
21,16 15 27,1.5926976151170367,1.6064125928938624,3.1067342292914346,Si O Si,152.39503261688378
22,16 30 35,1.594908519273265,1.5918879602047165,3.150639623133487,Si O Si,162.7218410038825
23,16 33 41,1.6131267912638088,1.6096755151461342,3.1489721229423417,Si O Si,155.42459876093207
25,18 25 29,1.5869945590956127,1.6090200188060872,2.8529414016194647,Si O Si,126.41645055873202
26,18 32 38,1.6304063831449789,1.6285639169045323,3.0050951590771033,Si O Si,134.46995825094834
27,18 54 75,1.5909867741879495,1.5980277133562864,2.8749708069435655,Si O Si,128.71791372769812
29,20 22 121,1.610168951922773,1.624037815328786,3.1521050967636635,Si O Si,154.1246144925724
30,20 24 35,1.6389704436939523,1.6198082812881927,3.009873016274283,Si O Si,134.92150894371792
31,20 59 63,1.6231459304732327,1.6200704010928093,3.182802290354535,Si O Si,157.84737041702863
34,27 118 110,1.5961855720603266,1.6443111916911088,3.1786729386868364,Si O Si,157.57764687677457
