,"dr, Si-Si","dr, Si-O","dr, O-O",Si-Si,Si-O,O-O,Si-Si label,Si-O label,O-O label,atoms_Si-Si,atoms_Si-O,atoms_O-O
197,0.0,1.5729654717571397,0.0,0.0,9.914053528877334,0.0,0,"(110, 109)",0,0,"(Si, O)",0
198,0.0,1.5870533458954321,0.0,0.0,14.721246686646788,0.0,0,"(90, 107)",0,0,"(Si, O)",0
199,0.0,1.5946995298337647,0.0,0.0,58.29466479162654,0.0,0,"(96, 101)",0,0,"(Si, O)",0
200,0.0,1.5966998948457407,0.0,0.0,67.33203809538509,0.0,0,"(90, 106)",0,0,"(Si, O)",0
201,0.0,1.6061690311640946,0.0,0.0,138.08916361802693,0.0,0,"(87, 102)",0,0,"(Si, O)",0
202,0.0,1.6161520299654664,0.0,0.0,113.15199590300963,0.0,0,"(96, 103)",0,0,"(Si, O)",0
203,0.0,1.6269157095687314,0.0,0.0,102.70328174486653,0.0,0,"(100, 97)",0,0,"(Si, O)",0
204,0.0,1.629266718517483,0.0,0.0,55.472102566637886,0.0,0,"(86, 108)",0,0,"(Si, O)",0
205,0.0,1.6364735918302602,0.0,0.0,50.354545359003026,0.0,0,"(100, 98)",0,0,"(Si, O)",0
206,0.0,1.6485663611522168,0.0,0.0,4.533350261596291,0.0,0,"(110, 111)",0,0,"(Si, O)",0
208,0.0,1.6668726068791107,0.0,0.0,4.4465895825883,0.0,0,"(87, 94)",0,0,"(Si, O)",0
228,0.0,1.8235989671672497,0.0,0.0,3.7007012100088534,0.0,0,"(112, 109)",0,0,"(Si, O)",0
