,Index,Name,Bond length
0,0 3,Si O,1.619761942546702
1,0 7,Si O,1.6301185938865639
2,0 10,Si Si,3.190139701167338
3,0 11,Si O,1.6045247361191397
4,0 16,Si Si,3.097164815776668
5,0 21,Si O,1.6192453809412082
6,0 53,Si Si,2.942951827074104
7,0 127,Si Si,2.935773475774809
8,1 2,Si O,1.6185801498762606
9,1 5,Si O,1.6182631397549736
10,1 8,Si O,1.610730570644173
11,1 9,Si Si,3.0300136204383517
12,1 12,Si O,1.6238222820274901
13,1 13,Si Si,3.1707911156783446
14,1 18,Si Si,3.1021140378598737
15,1 20,Si Si,3.2117639257080803
16,2 1,O Si,1.6185801498762606
17,2 5,O O,2.627296084152902
18,2 8,O O,2.5939996714130165
19,2 9,O Si,1.614900456304629
20,2 12,O O,2.6812484339031624
21,2 14,O O,2.5561455749165716
22,2 23,O O,2.6810355897606195
23,2 26,O O,2.658419687514723
24,3 0,O Si,1.619761942546702
25,3 7,O O,2.760150536063427
26,3 11,O O,2.6852110996119603
27,3 15,O O,2.6764341792609603
28,3 16,O Si,1.6303846897690504
29,3 21,O O,2.56235131380582
30,3 30,O O,2.6482795685848655
31,3 33,O O,2.679973492666924
32,4 6,O O,2.5889819292777605
33,4 10,O Si,1.6301102416524935
34,4 11,O O,2.7030483973516697
35,4 14,O O,2.6532226456051076
36,4 28,O Si,1.6362821730183703
37,4 34,O O,2.6043550277475807
38,4 46,O O,2.726887226051112
39,4 55,O O,2.6972758157758157
40,5 1,O Si,1.6182631397549736
41,5 2,O O,2.627296084152902
42,5 8,O O,2.692911211734062
43,5 12,O O,2.5827012686551636
44,5 18,O Si,1.61146045834392
45,5 25,O O,2.6494002842052953
46,5 32,O O,2.674973910228292
47,5 54,O O,2.6140556474995247
48,5 73,O O,2.9013923170467137
49,6 4,O O,2.5889819292777605
50,6 10,O Si,1.6129678329727293
51,6 11,O O,2.5634909338545575
52,6 12,O O,2.6414181916071193
53,6 13,O Si,1.6107598161333747
54,6 17,O O,2.609585106635175
55,6 19,O O,2.5943258156510343
56,6 55,O O,2.688374993420182
57,7 0,O Si,1.6301185938865639
58,7 3,O O,2.760150536063427
59,7 11,O O,2.5622007702266782
60,7 21,O O,2.630244967892041
61,7 119,O O,2.6824894334460443
62,7 126,O O,2.6774633553460414
63,7 127,O Si,1.6385892430974696
64,7 130,O O,2.5437738709177373
65,8 1,O Si,1.610730570644173
66,8 2,O O,2.5939996714130165
67,8 5,O O,2.692911211734062
68,8 12,O O,2.6700971430512555
69,8 20,O Si,1.6215054064141194
70,8 22,O O,2.5894901895920257
71,8 24,O O,2.7523869865016013
72,8 59,O O,2.6438671260357522
73,9 1,Si Si,3.0300136204383517
74,9 2,Si O,1.614900456304629
75,9 14,Si O,1.5990301853566025
76,9 23,Si O,1.6028584408454287
77,9 26,Si O,1.6093133453545276
78,9 28,Si Si,3.174887782305711
79,9 77,Si Si,3.134660248211111
80,9 163,Si Si,2.985612502903455
81,10 0,Si Si,3.190139701167338
82,10 4,Si O,1.6301102416524935
83,10 6,Si O,1.6129678329727293
84,10 11,Si O,1.607525740317708
85,10 13,Si Si,2.9846300387299647
86,10 28,Si Si,3.0173846446512465
87,10 55,Si O,1.6217826344602406
88,10 70,Si Si,3.135288770617619
89,11 0,O Si,1.6045247361191397
90,11 3,O O,2.6852110996119603
91,11 4,O O,2.7030483973516697
92,11 6,O O,2.5634909338545575
93,11 7,O O,2.5622007702266782
94,11 10,O Si,1.607525740317708
95,11 21,O O,2.6458794977937417
96,11 55,O O,2.6056322246017563
97,12 1,O Si,1.6238222820274901
98,12 2,O O,2.6812484339031624
99,12 5,O O,2.5827012686551636
100,12 6,O O,2.6414181916071193
101,12 8,O O,2.6700971430512555
102,12 13,O Si,1.6226335418633921
103,12 17,O O,2.6211659174142015
104,12 19,O O,2.703520113484036
105,13 1,Si Si,3.1707911156783446
106,13 6,Si O,1.6107598161333747
107,13 10,Si Si,2.9846300387299647
108,13 12,Si O,1.6226335418633921
109,13 17,Si O,1.592771817559818
110,13 19,Si O,1.603655361018171
111,13 27,Si Si,2.9793806632152213
112,13 29,Si Si,3.02300198570982
113,14 2,O O,2.5561455749165716
114,14 4,O O,2.6532226456051076
115,14 9,O Si,1.5990301853566025
116,14 23,O O,2.646878019152618
117,14 26,O O,2.6274045689479277
118,14 28,O Si,1.6006945178804421
119,14 34,O O,2.617985768893484
120,14 46,O O,2.578054945688908
121,15 3,O O,2.6764341792609603
122,15 16,O Si,1.5926976151170367
123,15 17,O O,2.538700610482775
124,15 27,O Si,1.6064125928938624
125,15 30,O O,2.504181317019031
126,15 33,O O,2.6196935319447863
127,15 118,O O,2.721432625096626
128,15 132,O O,2.5660410549329935
129,16 0,Si Si,3.097164815776668
130,16 3,Si O,1.6303846897690504
131,16 15,Si O,1.5926976151170367
132,16 27,Si Si,3.1067342292914346
133,16 30,Si O,1.594908519273265
134,16 33,Si O,1.6131267912638088
135,16 35,Si Si,3.150639623133487
136,16 41,Si Si,3.1489721229423417
137,17 6,O O,2.609585106635175
138,17 12,O O,2.6211659174142015
139,17 13,O Si,1.592771817559818
140,17 15,O O,2.538700610482775
141,17 19,O O,2.5760765569420787
142,17 27,O Si,1.610149291118983
143,17 118,O O,2.654605521490587
144,17 132,O O,2.571584976591895
145,18 1,Si Si,3.1021140378598737
146,18 5,Si O,1.61146045834392
147,18 25,Si O,1.5869945590956127
148,18 29,Si Si,2.8529414016194647
149,18 32,Si O,1.6304063831449789
150,18 38,Si Si,3.0050951590771033
151,18 54,Si O,1.5909867741879495
152,18 75,Si Si,2.8749708069435655
153,19 6,O O,2.5943258156510343
154,19 12,O O,2.703520113484036
155,19 13,O Si,1.603655361018171
156,19 17,O O,2.5760765569420787
157,19 25,O O,2.5944523993665296
158,19 29,O Si,1.6104706883079898
159,19 44,O O,2.6334282101644777
160,19 134,O O,2.647471945491949
161,20 1,Si Si,3.2117639257080803
162,20 8,Si O,1.6215054064141194
163,20 22,Si O,1.610168951922773
164,20 24,Si O,1.6389704436939523
165,20 35,Si Si,3.009873016274283
166,20 59,Si O,1.6231459304732327
167,20 63,Si Si,3.182802290354535
168,20 121,Si Si,3.1521050967636635
169,21 0,O Si,1.6192453809412082
170,21 3,O O,2.56235131380582
171,21 7,O O,2.630244967892041
172,21 11,O O,2.6458794977937417
173,21 53,O Si,1.6175447983479396
174,21 58,O O,2.627085347424894
175,21 84,O O,2.6600018686455753
176,21 130,O O,2.5827873690795142
177,22 8,O O,2.5894901895920257
178,22 20,O Si,1.610168951922773
179,22 24,O O,2.5768036940872783
180,22 59,O O,2.7065915372816742
181,22 113,O O,2.702667377128006
182,22 121,O Si,1.624037815328786
183,22 136,O O,2.648211710239583
184,22 159,O O,2.6467685753136303
185,23 2,O O,2.6810355897606195
186,23 9,O Si,1.6028584408454287
187,23 14,O O,2.646878019152618
188,23 26,O O,2.567582835252166
189,23 78,O O,2.6218530026368816
190,23 131,O O,2.57554419497447
191,23 163,O Si,1.626178660091305
192,23 175,O O,2.692992529615116
193,24 8,O O,2.7523869865016013
194,24 20,O Si,1.6389704436939523
195,24 22,O O,2.5768036940872783
196,24 30,O O,2.5182821029672957
197,24 35,O Si,1.6198082812881927
198,24 36,O O,2.6826253608758748
199,24 45,O O,2.7567038920265414
200,24 59,O O,2.6313611315209053
201,25 5,O O,2.6494002842052953
202,25 18,O Si,1.5869945590956127
203,25 19,O O,2.5944523993665296
204,25 29,O Si,1.6090200188060872
205,25 32,O O,2.571540256471833
206,25 44,O O,2.622464231404252
207,25 54,O O,2.530358776286625
208,25 134,O O,2.5159497226405176
209,26 2,O O,2.658419687514723
210,26 9,O Si,1.6093133453545276
211,26 14,O O,2.6274045689479277
212,26 23,O O,2.567582835252166
213,26 73,O O,2.614240406120551
214,26 76,O O,2.688905481861015
215,26 77,O Si,1.5884342784084373
216,26 101,O O,2.571710648468427
217,27 13,Si Si,2.9793806632152213
218,27 15,Si O,1.6064125928938624
219,27 16,Si Si,3.1067342292914346
220,27 17,Si O,1.610149291118983
221,27 110,Si Si,3.1786729386868364
222,27 118,Si O,1.5961855720603266
223,27 132,Si O,1.6005432192561875
224,27 185,Si Si,3.069888305204377
225,28 4,Si O,1.6362821730183703
226,28 9,Si Si,3.174887782305711
227,28 10,Si Si,3.0173846446512465
228,28 14,Si O,1.6006945178804421
229,28 34,Si O,1.6141571041658982
230,28 38,Si Si,3.140674470536128
231,28 46,Si O,1.6174242407995576
232,28 156,Si Si,3.1854342392177557
233,29 13,Si Si,3.02300198570982
234,29 18,Si Si,2.8529414016194647
235,29 19,Si O,1.6104706883079898
236,29 25,Si O,1.6090200188060872
237,29 38,Si Si,2.9591950764744173
238,29 44,Si O,1.637794439811736
239,29 125,Si Si,2.9666138440545935
240,29 134,Si O,1.59085659594996
241,30 3,O O,2.6482795685848655
242,30 15,O O,2.504181317019031
243,30 16,O Si,1.594908519273265
244,30 24,O O,2.5182821029672957
245,30 33,O O,2.6164545739400835
246,30 35,O Si,1.5918879602047165
247,30 36,O O,2.5835644236491886
248,30 45,O O,2.6759156003593
249,31 40,O Si,1.6250151735132343
250,31 43,O O,2.731769193480517
251,31 47,O O,2.5569697028320464
252,31 50,O O,2.686603656371341
253,31 91,O O,2.6919402957373517
254,31 94,O O,2.6997963405225507
255,31 196,O Si,1.6242056334078296
256,31 197,O O,2.5611808377744145
257,32 5,O O,2.674973910228292
258,32 18,O Si,1.6304063831449789
259,32 25,O O,2.571540256471833
260,32 34,O O,2.60356277637669
261,32 38,O Si,1.6285639169045323
262,32 39,O O,2.737221947796174
263,32 44,O O,2.5836117904332454
264,32 54,O O,2.679552620530693
265,33 3,O O,2.679973492666924
266,33 15,O O,2.6196935319447863
267,33 16,O Si,1.6131267912638088
268,33 30,O O,2.6164545739400835
269,33 41,O Si,1.6096755151461342
270,33 42,O O,2.6311994103857512
271,33 49,O O,2.6420221035356053
272,33 51,O O,2.6069964838405926
273,34 4,O O,2.6043550277475807
274,34 14,O O,2.617985768893484
275,34 28,O Si,1.6141571041658982
276,34 32,O O,2.60356277637669
277,34 38,O Si,1.611714617672247
278,34 39,O O,2.563359871785553
279,34 44,O O,2.742375171003305
280,34 46,O O,2.6603460702206996
281,35 16,Si Si,3.150639623133487
282,35 20,Si Si,3.009873016274283
283,35 24,Si O,1.6198082812881927
284,35 30,Si O,1.5918879602047165
285,35 36,Si O,1.5974202107404134
286,35 37,Si Si,3.0228482525750957
287,35 45,Si O,1.6208326948145493
288,35 154,Si Si,3.1140155608178888
289,36 24,O O,2.6826253608758748
290,36 30,O O,2.5835644236491886
291,36 35,O Si,1.5974202107404134
292,36 37,O Si,1.610982970047586
293,36 39,O O,2.6810524318896705
294,36 42,O O,2.6990566126722295
295,36 43,O O,2.44296191885664
296,36 45,O O,2.5191686143162846
297,37 35,Si Si,3.0228482525750957
298,37 36,Si O,1.610982970047586
299,37 38,Si Si,3.114610834226539
300,37 39,Si O,1.6214615758172315
301,37 40,Si Si,3.0055619285197355
302,37 41,Si Si,3.221292531742038
303,37 42,Si O,1.628898016567049
304,37 43,Si O,1.622865662747705
305,38 18,Si Si,3.0050951590771033
306,38 28,Si Si,3.140674470536128
307,38 29,Si Si,2.9591950764744173
308,38 32,Si O,1.6285639169045323
309,38 34,Si O,1.611714617672247
310,38 37,Si Si,3.114610834226539
311,38 39,Si O,1.6149094537090452
312,38 44,Si O,1.6318384194019435
313,39 32,O O,2.737221947796174
314,39 34,O O,2.563359871785553
315,39 36,O O,2.6810524318896705
316,39 37,O Si,1.6214615758172315
317,39 38,O Si,1.6149094537090452
318,39 42,O O,2.6354843275849555
319,39 43,O O,2.654587131319234
320,39 44,O O,2.6534885515415945
321,40 31,Si O,1.6250151735132343
322,40 37,Si Si,3.0055619285197355
323,40 43,Si O,1.6174195647022236
324,40 47,Si O,1.6116091720264232
325,40 50,Si O,1.6117697532497024
326,40 96,Si Si,3.1370231406780897
327,40 156,Si Si,3.0058305646736385
328,40 196,Si Si,2.9722315468058333
329,41 16,Si Si,3.1489721229423417
330,41 33,Si O,1.6096755151461342
331,41 37,Si Si,3.221292531742038
332,41 42,Si O,1.638939015346512
333,41 49,Si O,1.6244242324044804
334,41 51,Si O,1.6306991172438028
335,41 52,Si Si,3.1674446519973007
336,41 85,Si Si,3.249153638032074
337,42 33,O O,2.6311994103857512
338,42 36,O O,2.6990566126722295
339,42 37,O Si,1.628898016567049
340,42 39,O O,2.6354843275849555
341,42 41,O Si,1.638939015346512
342,42 43,O O,2.7489772446527145
343,42 49,O O,2.649627060820487
344,42 51,O O,2.7302424132127774
345,43 31,O O,2.731769193480517
346,43 36,O O,2.44296191885664
