,Index,Bond length 1,Bond length 2,Length 3,Bond name
0,16 0 10,3.097164816,3.190139701,5.370551715,Si Si Si
1,53 0 10,2.942951827,3.190139701,5.239190456,Si Si Si
2,127 0 10,2.935773476,3.190139701,4.535963592,Si Si Si
3,0 10 13,3.190139701,2.984630039,4.104678674,Si Si Si
4,0 10 28,3.190139701,3.017384645,5.03393982,Si Si Si
5,0 10 70,3.190139701,3.135288771,5.181301533,Si Si Si
6,53 0 16,2.942951827,3.097164816,4.851988593,Si Si Si
7,127 0 16,2.935773476,3.097164816,5.761738654,Si Si Si
8,0 16 27,3.097164816,3.106734229,4.697761883,Si Si Si
9,0 16 35,3.097164816,3.150639623,5.625483142,Si Si Si
10,0 16 41,3.097164816,3.148972123,4.946601838,Si Si Si
11,127 0 53,2.935773476,2.942951827,3.048736019,Si Si Si
12,0 53 52,2.942951827,3.190904405,5.082565888,Si Si Si
13,0 53 81,2.942951827,3.020579519,5.559175789,Si Si Si
14,0 53 127,2.942951827,3.048736019,2.935773476,Si Si Si
15,0 127 53,2.935773476,3.048736019,2.942951827,Si Si Si
16,0 127 117,2.935773476,3.243849439,5.540477606,Si Si Si
17,0 127 123,2.935773476,3.233194562,5.076415117,Si Si Si
18,13 1 9,3.170791116,3.03001362,4.980019933,Si Si Si
19,18 1 9,3.102114038,3.03001362,4.211729086,Si Si Si
20,20 1 9,3.211763926,3.03001362,5.513095615,Si Si Si
21,1 9 28,3.03001362,3.174887782,4.672564194,Si Si Si
22,1 9 77,3.03001362,3.134660248,4.460662595,Si Si Si
23,1 9 163,3.03001362,2.985612503,5.358407265,Si Si Si
24,18 1 13,3.102114038,3.170791116,4.045418248,Si Si Si
25,20 1 13,3.211763926,3.170791116,5.606459739,Si Si Si
26,1 13 10,3.170791116,2.984630039,4.877053494,Si Si Si
27,1 13 27,3.170791116,2.979380663,4.828458888,Si Si Si
28,1 13 29,3.170791116,3.023001986,4.492149035,Si Si Si
29,20 1 18,3.211763926,3.102114038,5.549543537,Si Si Si
30,1 18 29,3.102114038,2.852941402,4.492149035,Si Si Si
31,1 18 38,3.102114038,3.005095159,4.74456424,Si Si Si
32,1 18 75,3.102114038,2.874970807,4.640844815,Si Si Si
33,1 20 35,3.211763926,3.009873016,5.160642046,Si Si Si
34,1 20 63,3.211763926,3.18280229,4.850771087,Si Si Si
35,1 20 121,3.211763926,3.152105097,5.1793871,Si Si Si
36,77 9 28,3.134660248,3.174887782,5.261702219,Si Si Si
37,163 9 28,2.985612503,3.174887782,5.639616529,Si Si Si
38,9 28 10,3.174887782,3.017384645,4.978305366,Si Si Si
39,9 28 38,3.174887782,3.140674471,4.545640816,Si Si Si
40,9 28 156,3.174887782,3.185434239,4.857910242,Si Si Si
41,163 9 77,2.985612503,3.134660248,4.153417901,Si Si Si
42,9 77 68,3.134660248,2.975066767,5.371632219,Si Si Si
43,9 77 75,3.134660248,2.844396623,5.115030933,Si Si Si
44,9 77 96,3.134660248,2.937943775,5.155515458,Si Si Si
45,9 163 64,2.985612503,3.121477774,4.504276398,Si Si Si
46,9 163 115,2.985612503,2.967207246,5.25836428,Si Si Si
47,9 163 174,2.985612503,3.089988446,5.596133254,Si Si Si
48,28 10 13,3.017384645,2.984630039,4.392023724,Si Si Si
49,70 10 13,3.135288771,2.984630039,4.880831246,Si Si Si
50,10 13 27,2.984630039,2.979380663,5.057759453,Si Si Si
51,10 13 29,2.984630039,3.023001986,5.128661954,Si Si Si
52,70 10 28,3.135288771,3.017384645,5.752131824,Si Si Si
53,10 28 38,3.017384645,3.140674471,4.579559622,Si Si Si
54,10 28 156,3.017384645,3.185434239,5.914165272,Si Si Si
55,10 70 65,3.135288771,3.186990042,5.193323225,Si Si Si
56,10 70 68,3.135288771,2.954782967,5.060362979,Si Si Si
57,10 70 80,3.135288771,3.099702295,5.228276154,Si Si Si
58,29 13 27,3.023001986,2.979380663,5.12411023,Si Si Si
59,13 27 16,2.979380663,3.106734229,4.37812901,Si Si Si
60,13 27 110,2.979380663,3.178672939,4.638480579,Si Si Si
61,13 27 185,2.979380663,3.069888305,5.224068491,Si Si Si
62,13 29 18,3.023001986,2.852941402,4.045418248,Si Si Si
63,13 29 38,3.023001986,2.959195076,4.124029999,Si Si Si
64,13 29 125,3.023001986,2.966613844,5.26613544,Si Si Si
65,35 16 27,3.150639623,3.106734229,5.262939133,Si Si Si
66,41 16 27,3.148972123,3.106734229,5.540515792,Si Si Si
67,16 27 110,3.106734229,3.178672939,5.159770758,Si Si Si
68,16 27 185,3.106734229,3.069888305,4.715943014,Si Si Si
69,41 16 35,3.148972123,3.150639623,4.392929127,Si Si Si
70,16 35 20,3.150639623,3.009873016,4.608827848,Si Si Si
71,16 35 37,3.150639623,3.022848253,4.385577467,Si Si Si
72,16 35 154,3.150639623,3.114015561,5.515332882,Si Si Si
73,16 41 37,3.148972123,3.221292532,4.385577467,Si Si Si
74,16 41 52,3.148972123,3.167444652,5.184032745,Si Si Si
75,16 41 85,3.148972123,3.249153638,5.232903377,Si Si Si
76,38 18 29,3.005095159,2.852941402,2.959195076,Si Si Si
77,75 18 29,2.874970807,2.852941402,5.580989544,Si Si Si
78,18 29 38,2.852941402,2.959195076,3.005095159,Si Si Si
79,18 29 125,2.852941402,2.966613844,4.819355164,Si Si Si
80,75 18 38,2.874970807,3.005095159,5.328575972,Si Si Si
81,18 38 28,3.005095159,3.140674471,4.905932131,Si Si Si
82,18 38 29,3.005095159,2.959195076,2.852941402,Si Si Si
83,18 38 37,3.005095159,3.114610834,5.702257877,Si Si Si
84,18 75 77,2.874970807,2.844396623,3.743806761,Si Si Si
85,18 75 83,2.874970807,3.180440025,5.233093296,Si Si Si
86,18 75 86,2.874970807,2.896098684,5.011500437,Si Si Si
87,63 20 35,3.18280229,3.009873016,5.489515409,Si Si Si
88,121 20 35,3.152105097,3.009873016,3.825131348,Si Si Si
89,20 35 37,3.009873016,3.022848253,5.880685066,Si Si Si
90,20 35 154,3.009873016,3.114015561,4.510115993,Si Si Si
91,121 20 63,3.152105097,3.18280229,5.850358606,Si Si Si
92,20 63 64,3.18280229,2.99332382,5.449767128,Si Si Si
93,20 63 65,3.18280229,3.156161815,5.262907584,Si Si Si
94,20 63 87,3.18280229,3.258818285,5.2831864,Si Si Si
95,20 121 110,3.152105097,2.963973648,4.985916176,Si Si Si
96,20 121 154,3.152105097,3.030738879,4.510115993,Si Si Si
97,20 121 169,3.152105097,3.09082896,5.291284998,Si Si Si
98,185 27 110,3.069888305,3.178672939,5.690036358,Si Si Si
99,27 110 112,3.178672939,3.304265335,5.897197181,Si Si Si
100,27 110 117,3.178672939,3.177110102,5.583091938,Si Si Si
101,27 110 121,3.178672939,2.963973648,5.013943566,Si Si Si
102,27 185 65,3.069888305,3.027391636,5.155259616,Si Si Si
103,27 185 166,3.069888305,3.059259029,4.822642063,Si Si Si
104,27 185 206,3.069888305,2.995888164,4.963312826,Si Si Si
105,156 28 38,3.185434239,3.140674471,5.039030518,Si Si Si
106,28 38 29,3.140674471,2.959195076,5.283940983,Si Si Si
107,28 38 37,3.140674471,3.114610834,4.669022045,Si Si Si
108,28 156 40,3.185434239,3.005830565,4.660610283,Si Si Si
