,dr,index,name
0,1.619761942546702,0 3,Si O
1,1.6301185938865639,0 7,Si O
2,3.190139701167338,0 10,Si Si
3,1.6045247361191397,0 11,Si O
4,3.097164815776668,0 16,Si Si
5,1.6192453809412082,0 21,Si O
6,2.942951827074104,0 53,Si Si
7,2.935773475774809,0 127,Si Si
8,1.6185801498762606,1 2,Si O
9,1.6182631397549736,1 5,Si O
10,1.610730570644173,1 8,Si O
11,3.0300136204383517,1 9,Si Si
12,1.6238222820274901,1 12,Si O
13,3.1707911156783446,1 13,Si Si
14,3.1021140378598737,1 18,Si Si
15,3.2117639257080803,1 20,Si Si
16,1.6185801498762606,2 1,O Si
17,2.627296084152902,2 5,O O
18,2.5939996714130165,2 8,O O
19,1.614900456304629,2 9,O Si
20,2.6812484339031624,2 12,O O
21,2.5561455749165716,2 14,O O
22,2.6810355897606195,2 23,O O
23,2.658419687514723,2 26,O O
24,1.619761942546702,3 0,O Si
25,2.760150536063427,3 7,O O
26,2.6852110996119603,3 11,O O
27,2.6764341792609603,3 15,O O
28,1.6303846897690504,3 16,O Si
29,2.56235131380582,3 21,O O
30,2.6482795685848655,3 30,O O
31,2.679973492666924,3 33,O O
32,2.5889819292777605,4 6,O O
33,1.6301102416524935,4 10,O Si
34,2.7030483973516697,4 11,O O
35,2.6532226456051076,4 14,O O
36,1.6362821730183703,4 28,O Si
37,2.6043550277475807,4 34,O O
38,2.726887226051112,4 46,O O
39,2.6972758157758157,4 55,O O
40,1.6182631397549736,5 1,O Si
41,2.627296084152902,5 2,O O
42,2.692911211734062,5 8,O O
43,2.5827012686551636,5 12,O O
44,1.61146045834392,5 18,O Si
45,2.6494002842052953,5 25,O O
46,2.674973910228292,5 32,O O
47,2.6140556474995247,5 54,O O
48,2.9013923170467137,5 73,O O
49,2.5889819292777605,6 4,O O
50,1.6129678329727293,6 10,O Si
51,2.5634909338545575,6 11,O O
52,2.6414181916071193,6 12,O O
53,1.6107598161333747,6 13,O Si
54,2.609585106635175,6 17,O O
55,2.5943258156510343,6 19,O O
56,2.688374993420182,6 55,O O
57,1.6301185938865639,7 0,O Si
58,2.760150536063427,7 3,O O
59,2.5622007702266782,7 11,O O
60,2.630244967892041,7 21,O O
61,2.6824894334460443,7 119,O O
62,2.6774633553460414,7 126,O O
63,1.6385892430974696,7 127,O Si
64,2.5437738709177373,7 130,O O
65,1.610730570644173,8 1,O Si
66,2.5939996714130165,8 2,O O
67,2.692911211734062,8 5,O O
68,2.6700971430512555,8 12,O O
69,1.6215054064141194,8 20,O Si
70,2.5894901895920257,8 22,O O
71,2.7523869865016013,8 24,O O
72,2.6438671260357522,8 59,O O
73,3.0300136204383517,9 1,Si Si
74,1.614900456304629,9 2,Si O
75,1.5990301853566025,9 14,Si O
76,1.6028584408454287,9 23,Si O
77,1.6093133453545276,9 26,Si O
78,3.174887782305711,9 28,Si Si
79,3.134660248211111,9 77,Si Si
80,2.985612502903455,9 163,Si Si
81,3.190139701167338,10 0,Si Si
82,1.6301102416524935,10 4,Si O
83,1.6129678329727293,10 6,Si O
84,1.607525740317708,10 11,Si O
85,2.9846300387299647,10 13,Si Si
86,3.0173846446512465,10 28,Si Si
87,1.6217826344602406,10 55,Si O
88,3.135288770617619,10 70,Si Si
89,1.6045247361191397,11 0,O Si
90,2.6852110996119603,11 3,O O
91,2.7030483973516697,11 4,O O
92,2.5634909338545575,11 6,O O
93,2.5622007702266782,11 7,O O
94,1.607525740317708,11 10,O Si
95,2.6458794977937417,11 21,O O
96,2.6056322246017563,11 55,O O
97,1.6238222820274901,12 1,O Si
98,2.6812484339031624,12 2,O O
99,2.5827012686551636,12 5,O O
100,2.6414181916071193,12 6,O O
101,2.6700971430512555,12 8,O O
102,1.6226335418633921,12 13,O Si
103,2.6211659174142015,12 17,O O
104,2.703520113484036,12 19,O O
105,3.1707911156783446,13 1,Si Si
106,1.6107598161333747,13 6,Si O
107,2.9846300387299647,13 10,Si Si
108,1.6226335418633921,13 12,Si O
109,1.592771817559818,13 17,Si O
110,1.603655361018171,13 19,Si O
111,2.9793806632152213,13 27,Si Si
112,3.02300198570982,13 29,Si Si
113,2.5561455749165716,14 2,O O
114,2.6532226456051076,14 4,O O
115,1.5990301853566025,14 9,O Si
116,2.646878019152618,14 23,O O
117,2.6274045689479277,14 26,O O
118,1.6006945178804421,14 28,O Si
119,2.617985768893484,14 34,O O
120,2.578054945688908,14 46,O O
121,2.6764341792609603,15 3,O O
122,1.5926976151170367,15 16,O Si
123,2.538700610482775,15 17,O O
124,1.6064125928938624,15 27,O Si
125,2.504181317019031,15 30,O O
126,2.6196935319447863,15 33,O O
127,2.721432625096626,15 118,O O
128,2.5660410549329935,15 132,O O
129,3.097164815776668,16 0,Si Si
130,1.6303846897690504,16 3,Si O
131,1.5926976151170367,16 15,Si O
132,3.1067342292914346,16 27,Si Si
133,1.594908519273265,16 30,Si O
134,1.6131267912638088,16 33,Si O
135,3.150639623133487,16 35,Si Si
136,3.1489721229423417,16 41,Si Si
137,2.609585106635175,17 6,O O
138,2.6211659174142015,17 12,O O
139,1.592771817559818,17 13,O Si
140,2.538700610482775,17 15,O O
141,2.5760765569420787,17 19,O O
142,1.610149291118983,17 27,O Si
143,2.654605521490587,17 118,O O
144,2.571584976591895,17 132,O O
145,3.1021140378598737,18 1,Si Si
146,1.61146045834392,18 5,Si O
147,1.5869945590956127,18 25,Si O
148,2.8529414016194647,18 29,Si Si
149,1.6304063831449789,18 32,Si O
150,3.0050951590771033,18 38,Si Si
151,1.5909867741879495,18 54,Si O
152,2.8749708069435655,18 75,Si Si
153,2.5943258156510343,19 6,O O
154,2.703520113484036,19 12,O O
155,1.603655361018171,19 13,O Si
156,2.5760765569420787,19 17,O O
157,2.5944523993665296,19 25,O O
158,1.6104706883079898,19 29,O Si
159,2.6334282101644777,19 44,O O
160,2.647471945491949,19 134,O O
161,3.2117639257080803,20 1,Si Si
162,1.6215054064141194,20 8,Si O
163,1.610168951922773,20 22,Si O
164,1.6389704436939523,20 24,Si O
165,3.009873016274283,20 35,Si Si
166,1.6231459304732327,20 59,Si O
167,3.182802290354535,20 63,Si Si
168,3.1521050967636635,20 121,Si Si
169,1.6192453809412082,21 0,O Si
170,2.56235131380582,21 3,O O
171,2.630244967892041,21 7,O O
172,2.6458794977937417,21 11,O O
173,1.6175447983479396,21 53,O Si
174,2.627085347424894,21 58,O O
175,2.6600018686455753,21 84,O O
176,2.5827873690795142,21 130,O O
177,2.5894901895920257,22 8,O O
178,1.610168951922773,22 20,O Si
179,2.5768036940872783,22 24,O O
180,2.7065915372816742,22 59,O O
181,2.702667377128006,22 113,O O
182,1.624037815328786,22 121,O Si
183,2.648211710239583,22 136,O O
184,2.6467685753136303,22 159,O O
185,2.6810355897606195,23 2,O O
186,1.6028584408454287,23 9,O Si
187,2.646878019152618,23 14,O O
188,2.567582835252166,23 26,O O
189,2.6218530026368816,23 78,O O
190,2.57554419497447,23 131,O O
191,1.626178660091305,23 163,O Si
192,2.692992529615116,23 175,O O
193,2.7523869865016013,24 8,O O
194,1.6389704436939523,24 20,O Si
195,2.5768036940872783,24 22,O O
196,2.5182821029672957,24 30,O O
197,1.6198082812881927,24 35,O Si
198,2.6826253608758748,24 36,O O
199,2.7567038920265414,24 45,O O
200,2.6313611315209053,24 59,O O
201,2.6494002842052953,25 5,O O
202,1.5869945590956127,25 18,O Si
203,2.5944523993665296,25 19,O O
204,1.6090200188060872,25 29,O Si
205,2.571540256471833,25 32,O O
206,2.622464231404252,25 44,O O
207,2.530358776286625,25 54,O O
208,2.5159497226405176,25 134,O O
209,2.658419687514723,26 2,O O
210,1.6093133453545276,26 9,O Si
211,2.6274045689479277,26 14,O O
212,2.567582835252166,26 23,O O
213,2.614240406120551,26 73,O O
214,2.688905481861015,26 76,O O
215,1.5884342784084373,26 77,O Si
216,2.571710648468427,26 101,O O
217,2.9793806632152213,27 13,Si Si
218,1.6064125928938624,27 15,Si O
219,3.1067342292914346,27 16,Si Si
220,1.610149291118983,27 17,Si O
221,3.1786729386868364,27 110,Si Si
222,1.5961855720603266,27 118,Si O
223,1.6005432192561875,27 132,Si O
224,3.069888305204377,27 185,Si Si
225,1.6362821730183703,28 4,Si O
226,3.174887782305711,28 9,Si Si
227,3.0173846446512465,28 10,Si Si
228,1.6006945178804421,28 14,Si O
229,1.6141571041658982,28 34,Si O
230,3.140674470536128,28 38,Si Si
231,1.6174242407995576,28 46,Si O
232,3.1854342392177557,28 156,Si Si
233,3.02300198570982,29 13,Si Si
234,2.8529414016194647,29 18,Si Si
235,1.6104706883079898,29 19,Si O
236,1.6090200188060872,29 25,Si O
237,2.9591950764744173,29 38,Si Si
238,1.637794439811736,29 44,Si O
239,2.9666138440545935,29 125,Si Si
240,1.59085659594996,29 134,Si O
241,2.6482795685848655,30 3,O O
242,2.504181317019031,30 15,O O
243,1.594908519273265,30 16,O Si
244,2.5182821029672957,30 24,O O
245,2.6164545739400835,30 33,O O
246,1.5918879602047165,30 35,O Si
247,2.5835644236491886,30 36,O O
248,2.6759156003593,30 45,O O
249,1.6250151735132343,31 40,O Si
250,2.731769193480517,31 43,O O
251,2.5569697028320464,31 47,O O
252,2.686603656371341,31 50,O O
253,2.6919402957373517,31 91,O O
254,2.6997963405225507,31 94,O O
255,1.6242056334078296,31 196,O Si
256,2.5611808377744145,31 197,O O
257,2.674973910228292,32 5,O O
