,Index,Bond length 1,Bond length 2,Length 3,Bond name,Bond Angle
0,0 3 16,1.619761942546702,1.6303846897690504,3.097164815776668,Si-O-Si,2.525516776821357
1,0 7 127,1.6301185938865639,1.6385892430974696,2.935773475774809,Si-O-Si,2.2310612889819454
2,0 11 10,1.6045247361191397,1.607525740317708,3.190139701167338,Si-O-Si,2.90785425700907
3,0 21 53,1.6192453809412082,1.6175447983479396,2.942951827074104,Si-O-Si,2.28280937391214
4,1 2 9,1.6185801498762606,1.614900456304629,3.0300136204383517,Si-O-Si,2.4283107530809906
5,1 5 18,1.6182631397549736,1.61146045834392,3.1021140378598737,Si-O-Si,2.577506637546798
6,1 8 20,1.610730570644173,1.6215054064141194,3.2117639257080803,Si-O-Si,2.9163731176541026
7,1 12 13,1.6238222820274901,1.6226335418633921,3.1707911156783446,Si-O-Si,2.7089452654744894
9,9 14 28,1.5990301853566025,1.6006945178804421,3.174887782305711,Si-O-Si,2.8922371563591716
10,9 23 163,1.6028584408454287,1.626178660091305,2.985612502903455,Si-O-Si,2.360019789003005
11,9 26 77,1.6093133453545276,1.5884342784084373,3.134660248211111,Si-O-Si,2.7436503450277945
12,10 4 28,1.6301102416524935,1.6362821730183703,3.0173846446512465,Si-O-Si,2.3556036931204556
13,10 6 13,1.6129678329727293,1.6107598161333747,2.9846300387299647,Si-O-Si,2.3664617689348963
15,10 55 70,1.6217826344602406,1.6225675641574226,3.135288770617619,Si-O-Si,2.621547686555296
18,13 17 27,1.592771817559818,1.610149291118983,2.9793806632152213,Si-O-Si,2.38994297389982
19,13 19 29,1.603655361018171,1.6104706883079898,3.02300198570982,Si-O-Si,2.448409239137206
21,16 15 27,1.5926976151170367,1.6064125928938624,3.1067342292914346,Si-O-Si,2.659795082848772
22,16 30 35,1.594908519273265,1.5918879602047165,3.150639623133487,Si-O-Si,2.8400318904244646
23,16 33 41,1.6131267912638088,1.6096755151461342,3.1489721229423417,Si-O-Si,2.7126709869693637
25,18 25 29,1.5869945590956127,1.6090200188060872,2.8529414016194647,Si-O-Si,2.206383290934499
26,18 32 38,1.6304063831449789,1.6285639169045323,3.0050951590771033,Si-O-Si,2.3469435164983636
27,18 54 75,1.5909867741879495,1.5980277133562864,2.8749708069435655,Si-O-Si,2.24655140084634
29,20 22 121,1.610168951922773,1.624037815328786,3.1521050967636635,Si-O-Si,2.6899819812623575
30,20 24 35,1.6389704436939523,1.6198082812881927,3.009873016274283,Si-O-Si,2.3548245628268543
31,20 59 63,1.6231459304732327,1.6200704010928093,3.182802290354535,Si-O-Si,2.754956329392244
34,27 118 110,1.5961855720603266,1.6443111916911088,3.1786729386868364,Si-O-Si,2.7502487655446757
35,27 132 185,1.6005432192561875,1.5985694399385348,3.069888305204377,Si-O-Si,2.5711981325122
38,28 34 38,1.6141571041658982,1.611714617672247,3.140674470536128,Si-O-Si,2.6809174258008217
39,28 46 156,1.6174242407995576,1.6148931692863258,3.1854342392177557,Si-O-Si,2.8005388064955574
42,29 44 38,1.637794439811736,1.6318384194019435,2.9591950764744173,Si-O-Si,2.263012909449859
43,29 134 125,1.59085659594996,1.6424806983141234,2.9666138440545935,Si-O-Si,2.3234285163660324
46,35 36 37,1.5974202107404134,1.610982970047586,3.0228482525750957,Si-O-Si,2.4580644372377707
47,35 45 154,1.6208326948145493,1.621503650673602,3.1140155608178888,Si-O-Si,2.57703628892847
49,37 39 38,1.6214615758172315,1.6149094537090452,3.114610834226539,Si-O-Si,2.5912406978228986
50,37 42 41,1.628898016567049,1.638939015346512,3.221292531742038,Si-O-Si,2.803630643655064
51,37 43 40,1.622865662747705,1.6174195647022236,3.0055619285197355,Si-O-Si,2.3756622566371646
56,40 31 196,1.6250151735132343,1.6242056334078296,2.9722315468058333,Si-O-Si,2.309787765129162
58,40 47 96,1.6116091720264232,1.6186316086376362,3.1370231406780897,Si-O-Si,2.659947036645032
59,40 50 156,1.6117697532497024,1.6207418109876963,3.0058305646736385,Si-O-Si,2.388140877611378
62,41 49 52,1.6244242324044804,1.6232560086833008,3.1674446519973007,Si-O-Si,2.6961004448310026
63,41 51 85,1.6306991172438028,1.626364306482665,3.249153638032074,Si-O-Si,3.0021798827018213
64,52 48 151,1.6079719060170938,1.6043521712098254,3.049476671003367,Si-O-Si,2.502037478823247
66,52 84 53,1.6215377743354997,1.621747103848639,3.1909044047613646,Si-O-Si,2.7816582185226375
67,52 97 100,1.6322815847886047,1.6269157095687314,3.2029113911206104,Si-O-Si,2.7693577538572325
69,53 58 81,1.610340919271337,1.608750000707658,3.0205795187578848,Si-O-Si,2.4355537622620864
71,53 130 127,1.6374928854970665,1.6466811558661798,3.048736018946055,Si-O-Si,2.379686840194981
73,63 61 64,1.6150439403787569,1.6182036187745499,2.993323820136464,Si-O-Si,2.3662650974523904
74,63 62 65,1.6414124678334578,1.6337116506271399,3.15616181468035,Si-O-Si,2.600887584458754
75,63 72 87,1.6410199785041377,1.6425804914619917,3.2588182851810443,Si-O-Si,2.8957183137747156
76,64 56 81,1.5959838812613063,1.5912264097629487,3.120867269851941,Si-O-Si,2.7328085749103472
77,64 60 68,1.6086032529531948,1.6022835883728845,2.9220072368584313,Si-O-Si,2.2867169224919026
79,64 78 163,1.591603262249675,1.6143989744304506,3.1214777739678006,Si-O-Si,2.6813103524241826
81,65 66 185,1.6196470777952612,1.6127337483017365,3.027391635506602,Si-O-Si,2.42549448322788
82,65 67 70,1.6219279403026112,1.6238207003396983,3.1869900417130483,Si-O-Si,2.760456009205433
83,65 71 83,1.6255821825703343,1.6218547343407006,3.049890044523737,Si-O-Si,2.4404012998387934
85,68 69 70,1.6069761541539018,1.6109008238691955,2.9547829673754573,Si-O-Si,2.327225073842994
86,68 76 77,1.597579641776407,1.5972881326045496,2.975066767120902,Si-O-Si,2.3953925713573767
87,68 82 215,1.5773659723444795,1.5855747747869082,3.156180386435746,Si-O-Si,3.0108060540112787
91,70 74 80,1.610541110121917,1.6078829509846462,3.0997022948494317,Si-O-Si,2.5966725436857248
93,75 57 83,1.5854671109615652,1.5989787857456932,3.180440025385219,Si-O-Si,3.0412637645283334
94,75 73 77,1.6029382747922778,1.6133013787458534,2.844396622702938,Si-O-Si,2.170347399504933
95,75 99 86,1.6022452472098065,1.5923040618247564,2.896098683888384,Si-O-Si,2.27018915100295
99,77 101 96,1.6053650403692683,1.5946995298337647,2.9379437749816497,Si-O-Si,2.3264588044963452
101,80 105 86,1.6307035342481844,1.6107353912081765,3.088573675474123,Si-O-Si,2.524911484644103
102,80 186 83,1.6135138021406057,1.6226854093264402,2.9278298468877137,Si-O-Si,2.2614049515875734
